comp,season,matchid,minute,extraTime,goaltype,team.id,team.name,scorer.id,scorer.name,assist.id,assist.name
CL,2019,278634,89,,REGULAR,503,FC Porto,15912,Sergio Oliveira,,
CL,2019,278632,53,,REGULAR,654,PAE Olympiakos SFP,42919,Giorgos Masouras,30468,Mathieu Valbuena
CL,2019,278638,51,,REGULAR,2016,LASK Linz,10716,Gernot Trauner,10709,Peter Michorl
CL,2019,278638,82,,REGULAR,2016,LASK Linz,55858,Klauss,,
CL,2019,278638,87,,REGULAR,729,FC Basel 1893,16049,Luca Zuffi,,
CL,2019,279223,28,,REGULAR,5515,FC CFR 1907 Cluj,36710,Mário Rondón,36755,Ciprian Deac
CL,2019,279223,37,,REGULAR,732,Celtic FC,15611,James Forrest,,
CL,2019,279613,50,,REGULAR,889,Rosenborg BK,16207,Alexander Søderlund,,
CL,2019,279613,64,,REGULAR,889,Rosenborg BK,16207,Alexander Søderlund,,
CL,2019,279613,70,,REGULAR,734,NK Maribor,15393,Marcos Tavares,,
CL,2019,279613,71,,REGULAR,889,Rosenborg BK,3463,Mike Jensen,,
CL,2019,279610,34,,PENALTY,752,APOEL FC,60463,Tomás De Vincenti,,
CL,2019,279610,68,,REGULAR,752,APOEL FC,122501,Urosh Matich,57709,Roman Bezjak
CL,2019,279614,45,2,REGULAR,734,NK Maribor,121407,Rudi Požeg Vancaš,15376,Dino Hotič
CL,2019,279614,53,,REGULAR,889,Rosenborg BK,16207,Alexander Søderlund,37963,Babajide Akintola
CL,2019,279614,61,,REGULAR,889,Rosenborg BK,15549,Anders Konradsen,15555,Vegar Eggen Hedenstad
CL,2019,279614,81,,REGULAR,889,Rosenborg BK,15549,Anders Konradsen,37963,Babajide Akintola
CL,2019,278637,6,,REGULAR,842,FK Dynamo Kyiv,16171,Vitalii Buyalskyi,16165,Vitalii Mykolenko
CL,2019,278637,38,,REGULAR,851,Club Brugge KV,15733,Simon Deli,8881,Ruud Vormer
CL,2019,278637,50,,REGULAR,842,FK Dynamo Kyiv,16175,Volodymyr Shepeliev,15519,Benjamin Verbič
CL,2019,278637,88,,REGULAR,851,Club Brugge KV,8881,Ruud Vormer,73215,Loïs Openda
CL,2019,278637,90,3,OWN,851,Club Brugge KV,8873,Brandon Mechele,,
CL,2019,278637,90,5,REGULAR,851,Club Brugge KV,73215,Loïs Openda,,
CL,2019,279612,17,,REGULAR,7283,FK Crvena Zvezda,21845,Richmond Boakye Yiadom,15826,Marko Marin
CL,2019,279612,45,,REGULAR,1876,FC København,30316,Dame N'Doye,15513,Pierre Bengtsson
CL,2019,279226,16,,REGULAR,755,GNK Dinamo Zagreb,23130,Arijan Ademi,23132,Dani Olmo
CL,2019,279226,47,,REGULAR,755,GNK Dinamo Zagreb,2174,Bruno Petković,73401,Mislav Oršić
CL,2019,279226,55,,REGULAR,755,GNK Dinamo Zagreb,23132,Dani Olmo,23130,Arijan Ademi
CL,2019,279226,79,,REGULAR,755,GNK Dinamo Zagreb,23133,Amer Gojak,23214,Lovro Majer
CL,2019,278631,23,,REGULAR,6146,PAOK FC,43504,Diego Biseswar,,
CL,2019,278631,43,,PENALTY,678,AFC Ajax,3444,Dušan Tadić,,
CL,2019,278631,79,,REGULAR,678,AFC Ajax,3208,Nicolás Tagliafico,3707,Hakim Ziyech
CL,2019,278631,85,,PENALTY,678,AFC Ajax,3444,Dušan Tadić,,
CL,2019,278631,90,4,REGULAR,6146,PAOK FC,43504,Diego Biseswar,,
CL,2019,278633,55,,REGULAR,654,PAE Olympiakos SFP,33110,Rúben Semedo,275,Guerrero
CL,2019,278633,78,,PENALTY,654,PAE Olympiakos SFP,30468,Mathieu Valbuena,,
CL,2019,278639,59,,REGULAR,2016,LASK Linz,10710,Reinhold Ranftl,,
CL,2019,278639,80,,REGULAR,729,FC Basel 1893,57974,Kemal Ademi,16056,Valentin Stocker
CL,2019,278639,89,,REGULAR,2016,LASK Linz,10714,Thomas Goiginger,10709,Peter Michorl
CL,2019,278639,90,4,REGULAR,2016,LASK Linz,10721,Marko Raguz,10787,Dominik Frieser
CL,2019,279224,27,,REGULAR,5515,FC CFR 1907 Cluj,36755,Ciprian Deac,36746,Billel Omrani
CL,2019,279224,51,,REGULAR,732,Celtic FC,15611,James Forrest,16075,Michael Johnston
CL,2019,279224,61,,REGULAR,732,Celtic FC,16077,Odsonne Edouard,16548,Hatem Abd Elhamed
CL,2019,279224,74,,PENALTY,5515,FC CFR 1907 Cluj,36746,Billel Omrani,,
CL,2019,279224,76,,REGULAR,732,Celtic FC,34495,Ryan Christie,16077,Odsonne Edouard
CL,2019,279224,80,,REGULAR,5515,FC CFR 1907 Cluj,36746,Billel Omrani,36759,Alexandru Păun
CL,2019,279224,90,7,REGULAR,5515,FC CFR 1907 Cluj,36670,George Țucudean,36759,Alexandru Păun
CL,2019,278635,3,,REGULAR,5452,FK Krasnodar,7469,Tonny Vilhena,,
CL,2019,278635,13,,REGULAR,5452,FK Krasnodar,49265,Shapi Suleimanov,49264,Wanderson
CL,2019,278635,34,,REGULAR,5452,FK Krasnodar,49265,Shapi Suleimanov,,
CL,2019,278635,57,,REGULAR,503,FC Porto,16149,Zé Luís,15904,Alex Telles
CL,2019,278635,76,,REGULAR,503,FC Porto,22396,Luis Díaz,3296,Jesús Corona
CL,2019,279649,28,,REGULAR,930,SK Slavia Praha,62535,Lukáš Masopust,9353,Nicolae Stanciu
CL,2019,283066,10,,PENALTY,851,Club Brugge KV,8888,Hans Vanaken,,
CL,2019,279650,7,,REGULAR,1871,BSC Young Boys,16280,Roger Assalé,16282,Jean-Pierre Nsamé
CL,2019,279650,18,,REGULAR,7283,FK Crvena Zvezda,3410,Miloš Degenek,15826,Marko Marin
CL,2019,279650,46,,REGULAR,7283,FK Crvena Zvezda,32152,Mateo García,67698,Marko Gobeljić
CL,2019,279650,76,,PENALTY,1871,BSC Young Boys,16279,Guillaume Hoarau,,
CL,2019,283068,8,,PENALTY,755,GNK Dinamo Zagreb,2174,Bruno Petković,,
CL,2019,283068,28,,REGULAR,755,GNK Dinamo Zagreb,73401,Mislav Oršić,,
CL,2019,283070,30,,REGULAR,654,PAE Olympiakos SFP,275,Guerrero,42919,Giorgos Masouras
CL,2019,283070,78,,REGULAR,654,PAE Olympiakos SFP,85277,Lazar Ranđelović,30468,Mathieu Valbuena
CL,2019,283070,85,,REGULAR,654,PAE Olympiakos SFP,85277,Lazar Ranđelović,15890,Daniel Podence
CL,2019,283070,89,,REGULAR,654,PAE Olympiakos SFP,15890,Daniel Podence,11456,Andreas Bouchalakis
CL,2019,279651,59,,REGULAR,7283,FK Crvena Zvezda,111902,Aleksa Vukanović,10189,Milan Rodić
