tie,hometeam,awayteam,oddshome,oddsdraw,oddsaway,season
Fenerbahce - Sevilla,Fenerbahce,Sevilla,175,204,170,2008
Lyon - Manchester Utd,Lyon,Manchester Utd,238,200,133,2008
AS Roma - Real Madrid,AS Roma,Real Madrid,150,208,192,2008
Liverpool - Inter,Liverpool,Inter,147,202,202,2008
Olympiakos Piraeus - Chelsea,Olympiakos Piraeus,Chelsea,337,223,-110,2008
Schalke - FC Porto,Schalke,FC Porto,122,213,240,2008
Barcelona - Lyon,Barcelona,Lyon,-417,621,1090,2019
Bayern Munich - Liverpool,Bayern Munich,Liverpool,108,256,278,2019
Juventus - Atl. Madrid,Juventus,Atl. Madrid,-133,262,447,2019
Manchester City - Schalke,Manchester City,Schalke,-286,878,2129,2019
FC Porto - AS Roma,FC Porto,AS Roma,-127,309,342,2019
Paris SG - Manchester Utd,Paris SG,Manchester Utd,-204,366,567,2019
Dortmund - Tottenham,Dortmund,Tottenham,104,273,262,2019
Real Madrid - Ajax,Real Madrid,Ajax,-132,305,357,2019
Atl. Madrid - Juventus,Atl. Madrid,Juventus,190,190,194,2019
Schalke - Manchester City,Schalke,Manchester City,972,458,-323,2019
Liverpool - Bayern Munich,Liverpool,Bayern Munich,129,248,223,2019
Lyon - Barcelona,Lyon,Barcelona,372,290,-130,2019
Ajax - Real Madrid,Ajax,Real Madrid,233,265,119,2019
Tottenham - Dortmund,Tottenham,Dortmund,110,236,290,2019
AS Roma - FC Porto,AS Roma,FC Porto,110,240,280,2019
Manchester Utd - Paris SG,Manchester Utd,Paris SG,135,248,214,2019
Tottenham - Manchester City,Tottenham,Manchester City,289,260,102,2019
Liverpool - FC Porto,Liverpool,FC Porto,-345,486,1014,2019
Manchester Utd - Barcelona,Manchester Utd,Barcelona,313,262,-104,2019
Ajax - Juventus,Ajax,Juventus,194,223,163,2019
Juventus - Ajax,Juventus,Ajax,-141,292,436,2019
Barcelona - Manchester Utd,Barcelona,Manchester Utd,-278,458,773,2019
Manchester City - Tottenham,Manchester City,Tottenham,-333,507,938,2019
FC Porto - Liverpool,FC Porto,Liverpool,254,244,120,2019
Tottenham - Ajax,Tottenham,Ajax,133,229,237,2019
Barcelona - Liverpool,Barcelona,Liverpool,-111,266,337,2019
Liverpool - Barcelona,Liverpool,Barcelona,162,272,163,2019
