hometeam,awayteam,game,season,tie,homewin,draw,awaywin
Chelsea,Paris SG,2,2015,psg-chelsea,0.43420872829999996,0.2997787815,0.2660124902
Schalke,Real Madrid,1,2015,schalke-madrid,0.13971237539999998,0.2176106976,0.642676927
Real Madrid,Schalke,2,2015,schalke-madrid,0.8011909881,0.1304856558,0.06832335607000001
Shakhtar Donetsk,Bayern Munich,1,2015,shakhtar-bayern,0.10486217980000001,0.1887107205,0.7064270997
Bayern Munich,Shakhtar Donetsk,2,2015,shakhtar-bayern,0.8322743514000001,0.1163178612,0.05140778741
Atl. Madrid,Real Madrid,1,2015,atletico-madrid,0.3284988952,0.2971651544,0.3743359504
Real Madrid,Atl. Madrid,2,2015,atletico-madrid,0.48345660450000005,0.2835522607,0.2329911347
Juventus,Monaco,1,2015,juventus-monaco,0.6361336458,0.24617131120000002,0.11769504300000001
Monaco,Juventus,2,2015,juventus-monaco,0.231816525,0.3143916925,0.4537917825
FC Porto,Bayern Munich,1,2015,porto-bayern,0.23475495370000002,0.2968747261,0.4683703202
Bayern Munich,FC Porto,2,2015,porto-bayern,0.7126536339,0.18011858170000003,0.1072277844
Paris SG,Barcelona,1,2015,psg-barcelona,0.2160975711,0.2681764872,0.5157259417
Barcelona,Paris SG,2,2015,psg-barcelona,0.6701514572,0.1889182707,0.140930272
Barcelona,Bayern Munich,1,2015,barcelona-bayern,0.5571545247999999,0.2449145405,0.19793093469999998
Bayern Munich,Barcelona,2,2015,barcelona-bayern,0.3814608141,0.2570054292,0.36153375670000004
Juventus,Real Madrid,1,2015,juventus-madrid,0.35682571450000006,0.30617222190000004,0.33700206369999997
Real Madrid,Juventus,2,2015,juventus-madrid,0.5857321113,0.23343321739999998,0.18083467120000002
Arsenal,Barcelona,1,2016,arsenal-barcelona,0.2350560952,0.2611028517,0.5038410531
Barcelona,Arsenal,2,2016,arsenal-barcelona,0.7799035356999999,0.1363795152,0.08371694913
Benfica,Zenit Petersburg,1,2016,benfica-zenit,0.4693636248,0.2827161015,0.2479202736
Zenit Petersburg,Benfica,2,2016,benfica-zenit,0.45873153780000003,0.2736750652,0.267593397
Gent,Wolfsburg,1,2016,gent-wolfsburg,,,
Wolfsburg,Gent,2,2016,gent-wolfsburg,0.6308381050999999,0.21531582149999998,0.1538460734
Juventus,Bayern Munich,1,2016,juventus-bayern,0.2626242479,0.3066719856,0.4307037665
